 no_of_dependents, education, self_employed, income_annum, loan_amount, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value
2, Graduate, No,9600000,29900000,2400000,17600000,22700000,8000000
0, Not Graduate, Yes,4100000,12200000,2700000,2200000,8800000,3300000
3, Graduate, No,9100000,29700000,7100000,4500000,33300000,12800000
3, Graduate, No,8200000,30700000,18200000,3300000,23300000,7900000
5, Not Graduate, Yes,9800000,24200000,12400000,8200000,29400000,5000000
0, Graduate, Yes,4800000,13500000,6800000,8300000,13700000,5100000
5, Graduate, No,8700000,33000000,22500000,14800000,29200000,4300000
2, Graduate, Yes,5700000,15000000,13200000,5700000,11800000,6000000
0, Graduate, Yes,800000,2200000,1300000,800000,2800000,600000
5, Not Graduate, No,1100000,4300000,3200000,1400000,3300000,1600000
4, Graduate, Yes,2900000,11200000,8100000,4700000,9500000,3100000
2, Not Graduate, Yes,6700000,22700000,15300000,5800000,20400000,6400000
3, Not Graduate, Yes,5000000,11600000,6400000,9600000,14600000,4300000
2, Graduate, Yes,9100000,31500000,10800000,16600000,20900000,5000000
1, Not Graduate, No,1900000,7400000,1900000,1200000,5900000,1900000
5, Not Graduate, No,4700000,10700000,5700000,3900000,16400000,4400000
2, Graduate, Yes,500000,1600000,1300000,100000,1300000,700000
4, Not Graduate, Yes,2900000,9400000,2900000,2800000,6700000,4300000
2, Graduate, No,2700000,10300000,1000000,0,6200000,3300000
5, Graduate, No,6300000,14600000,10300000,3500000,23500000,5900000
2, Graduate, No,5000000,19400000,9500000,1600000,18000000,6100000
4, Graduate, No,5800000,14000000,3800000,11300000,22200000,5400000
4, Graduate, Yes,6500000,25700000,13100000,1700000,19500000,8500000
0, Not Graduate, Yes,500000,1400000,900000,600000,1100000,300000
0, Not Graduate, No,4900000,9800000,3800000,8700000,10000000,3300000
5, Not Graduate, No,3100000,9500000,7900000,3100000,6600000,2600000
4, Graduate, No,8200000,28100000,11500000,10600000,25300000,7200000
4, Not Graduate, Yes,2400000,5600000,4500000,4200000,5400000,2500000
5, Not Graduate, Yes,7000000,24000000,2300000,11900000,27500000,9700000
3, Not Graduate, Yes,9000000,31500000,21800000,12400000,33700000,8000000
2, Not Graduate, No,9800000,25300000,20200000,5200000,25500000,9300000
2, Graduate, No,5700000,12000000,3600000,7400000,21700000,4300000
1, Not Graduate, Yes,800000,1600000,700000,200000,2200000,1000000
5, Not Graduate, Yes,8400000,22000000,3800000,3900000,19900000,5400000
3, Graduate, No,4900000,11900000,9700000,1200000,19000000,5800000
2, Graduate, Yes,1700000,3400000,2700000,2800000,6000000,900000
3, Not Graduate, No,1600000,6200000,3400000,700000,5300000,1400000
5, Graduate, Yes,8000000,27200000,6400000,300000,16700000,7100000
5, Graduate, No,3600000,7700000,7000000,1300000,10000000,2900000
3, Not Graduate, Yes,1500000,5100000,100000,200000,5600000,900000
1, Graduate, No,7800000,18100000,8600000,11200000,21700000,9000000
2, Not Graduate, No,9100000,24900000,22300000,12100000,31000000,5200000
3, Graduate, No,1400000,3400000,200000,1500000,3900000,800000
2, Graduate, Yes,800000,2300000,2200000,1300000,1800000,800000
5, Graduate, No,6500000,13400000,18200000,300000,16200000,5400000
4, Graduate, No,8000000,27800000,13000000,6300000,21400000,10900000
3, Not Graduate, Yes,4200000,14600000,2400000,6900000,8700000,4900000
1, Graduate, Yes,4900000,19100000,5400000,9100000,17700000,6500000
3, Not Graduate, No,5500000,20500000,800000,8600000,18500000,8200000
1, Not Graduate, Yes,9500000,19100000,100000,10500000,37700000,11700000
4, Graduate, No,7300000,25400000,500000,1800000,20500000,10500000
2, Graduate, No,8700000,24700000,6800000,3500000,21800000,11300000
5, Not Graduate, No,3800000,7600000,8700000,100000,9300000,3400000
1, Not Graduate, Yes,8400000,23000000,15400000,14800000,31900000,8200000
2, Graduate, Yes,5100000,19700000,7400000,9300000,19400000,3400000
5, Not Graduate, No,6700000,24500000,1200000,5600000,16300000,6200000
2, Not Graduate, No,4300000,10600000,2100000,1500000,9300000,5200000
5, Graduate, Yes,9300000,30500000,19300000,10300000,34600000,8700000
1, Graduate, No,7400000,18400000,18500000,9100000,17500000,4100000
4, Not Graduate, Yes,5500000,18200000,-100000,4900000,18600000,4800000
2, Not Graduate, No,8500000,18900000,23800000,16300000,25900000,11400000
3, Not Graduate, Yes,9600000,30500000,4700000,1900000,26500000,9300000
5, Not Graduate, Yes,8800000,28900000,24400000,8600000,27400000,4700000
3, Not Graduate, Yes,3300000,7500000,1600000,5600000,10500000,2900000
4, Graduate, Yes,3900000,12300000,7600000,6900000,13100000,2800000
1, Graduate, No,4100000,10300000,9500000,6100000,14900000,2800000
3, Not Graduate, No,8300000,29100000,6100000,11900000,24100000,11900000
0, Not Graduate, Yes,2700000,10100000,200000,1700000,5900000,1400000
4, Graduate, No,5600000,12400000,5500000,3100000,11800000,5500000
0, Graduate, No,1900000,5000000,4000000,2800000,4900000,2400000
4, Not Graduate, Yes,500000,1500000,100000,200000,1900000,600000
5, Graduate, Yes,5300000,18600000,2700000,9700000,11900000,4200000
5, Not Graduate, No,7000000,18300000,18400000,11700000,21500000,7600000
3, Not Graduate, Yes,5800000,16700000,3900000,9400000,12600000,5600000
2, Not Graduate, No,2600000,8400000,6500000,3800000,5600000,2000000
2, Not Graduate, No,1900000,6500000,600000,2500000,4800000,1100000
4, Graduate, No,5700000,14800000,14300000,7800000,12900000,6300000
